year,patcnty,agegrp,count
2008,Sacramento,Older Mothers (35 years old or older),3112
2008,Sacramento,Teen Mothers (15 years old to 19 years old),1886
2008,Sacramento,Typical Aged Mothers (20 years old to 34 years old),15779
2008,San Benito,Total Births,796
2008,San Benito,Older Mothers (35 years old or older),117
2008,San Benito,Teen Mothers (15 years old to 19 years old),80
2008,San Benito,Typical Aged Mothers (20 years old to 34 years old),598
2008,San Bernardino,Total Births,32279
2008,San Bernardino,Older Mothers (35 years old or older),3941
2008,San Bernardino,Teen Mothers (15 years old to 19 years old),4189
2008,San Bernardino,Typical Aged Mothers (20 years old to 34 years old),24115
2008,San Diego,Total Births,41118
2008,San Diego,Older Mothers (35 years old or older),7321
2008,San Diego,Teen Mothers (15 years old to 19 years old),3570
2008,San Diego,Typical Aged Mothers (20 years old to 34 years old),30185
2008,San Francisco,Total Births,8821
2008,San Francisco,Older Mothers (35 years old or older),2949
2008,San Francisco,Teen Mothers (15 years old to 19 years old),295
2008,San Francisco,Typical Aged Mothers (20 years old to 34 years old),5564
2008,San Joaquin,Total Births,10852
2008,San Joaquin,Older Mothers (35 years old or older),1387
2008,San Joaquin,Teen Mothers (15 years old to 19 years old),1269
2008,San Joaquin,Typical Aged Mothers (20 years old to 34 years old),8179
2008,San Luis Obispo,Total Births,2618
2008,San Luis Obispo,Older Mothers (35 years old or older),420
2008,San Luis Obispo,Teen Mothers (15 years old to 19 years old),208
2008,San Luis Obispo,Typical Aged Mothers (20 years old to 34 years old),1987
2008,San Mateo,Total Births,8786
2008,San Mateo,Older Mothers (35 years old or older),2503
2008,San Mateo,Teen Mothers (15 years old to 19 years old),355
2008,San Mateo,Typical Aged Mothers (20 years old to 34 years old),5923
2008,Santa Barbara,Total Births,6153
2008,Santa Barbara,Older Mothers (35 years old or older),954
2008,Santa Barbara,Teen Mothers (15 years old to 19 years old),670
2008,Santa Barbara,Typical Aged Mothers (20 years old to 34 years old),4519
2008,Santa Clara,Total Births,26724
2008,Santa Clara,Older Mothers (35 years old or older),6237
2008,Santa Clara,Teen Mothers (15 years old to 19 years old),1491
2008,Santa Clara,Typical Aged Mothers (20 years old to 34 years old),18977
2008,Santa Cruz,Total Births,3576
2008,Santa Cruz,Older Mothers (35 years old or older),672
2008,Santa Cruz,Teen Mothers (15 years old to 19 years old),320
2008,Santa Cruz,Typical Aged Mothers (20 years old to 34 years old),2581
2008,Shasta,Total Births,2161
2008,Shasta,Older Mothers (35 years old or older),207
2008,Shasta,Teen Mothers (15 years old to 19 years old),240
2008,Shasta,Typical Aged Mothers (20 years old to 34 years old),1714
2008,Siskiyou,Total Births,378
2008,Siskiyou,Older Mothers (35 years old or older),42
2008,Siskiyou,Teen Mothers (15 years old to 19 years old),42
2008,Siskiyou,Typical Aged Mothers (20 years old to 34 years old),294
2008,Solano,Total Births,5036
2008,Solano,Older Mothers (35 years old or older),739
2008,Solano,Teen Mothers (15 years old to 19 years old),459
2008,Solano,Typical Aged Mothers (20 years old to 34 years old),3832
2008,Sonoma,Total Births,5444
2008,Sonoma,Older Mothers (35 years old or older),937
2008,Sonoma,Teen Mothers (15 years old to 19 years old),445
2008,Sonoma,Typical Aged Mothers (20 years old to 34 years old),4054
2008,Stanislaus,Total Births,8409
2008,Stanislaus,Older Mothers (35 years old or older),960
2008,Stanislaus,Teen Mothers (15 years old to 19 years old),984
2008,Stanislaus,Typical Aged Mothers (20 years old to 34 years old),6455
2008,Sutter,Total Births,1426
2008,Sutter,Older Mothers (35 years old or older),181
2008,Sutter,Teen Mothers (15 years old to 19 years old),132
2008,Sutter,Typical Aged Mothers (20 years old to 34 years old),1111
2008,Tehama,Total Births,742
2008,Tehama,Older Mothers (35 years old or older),66
2008,Tehama,Teen Mothers (15 years old to 19 years old),109
2008,Tehama,Typical Aged Mothers (20 years old to 34 years old),567
2008,Tulare,Total Births,8388
2008,Tulare,Older Mothers (35 years old or older),853
2008,Tulare,Teen Mothers (15 years old to 19 years old),1233
2008,Tulare,Typical Aged Mothers (20 years old to 34 years old),6286
2008,Ventura,Total Births,11761
2008,Ventura,Older Mothers (35 years old or older),2041
2008,Ventura,Teen Mothers (15 years old to 19 years old),1080
